"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/company/principles/","Declared page intent; confirm against editorial brief.","Still framing the question Read brand-memory principles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/company/principles/","Declared page intent; confirm against editorial brief.","Discuss mutual fit","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/company/principles/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/company/selected-experience/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/selected-experience/","Declared page intent; confirm against editorial brief.","Explore the experience record ↗","text-link","/portfolio/","Relevant experience proof","early-stage","internal","https://hardmagic.com/portfolio/","strong"
"/company/selected-experience/","Declared page intent; confirm against editorial brief.","Ready to move Discuss relevant experience Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/selected-experience/","Declared page intent; confirm against editorial brief.","Still framing the question Explore the experience record Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/portfolio/","Relevant experience proof","early-stage","internal","https://hardmagic.com/portfolio/","strong"
"/company/selected-experience/","Declared page intent; confirm against editorial brief.","Discuss relevant experience","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/contact/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/","Declared page intent; confirm against editorial brief.","Send the first question ↗","form","https://briefs.hardmagic.com/api/contact-request","Qualified consultation intake","primary","application","https://briefs.hardmagic.com/api/contact-request","strong"
"/contact/creative-direction/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/creative-direction/","Declared page intent; confirm against editorial brief.","Read the creative-direction essay ↗","text-link","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/contact/creative-direction/","Declared page intent; confirm against editorial brief.","Request creative direction","button dark-button","/contact/creative-direction/#intake","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/creative-direction/#intake","strong"
"/contact/creative-direction/","Declared page intent; confirm against editorial brief.","Send inquiry","form","https://briefs.hardmagic.com/api/contact-request","Qualified consultation intake","primary","application","https://briefs.hardmagic.com/api/contact-request","strong"
"/contact/genai/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/genai/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/contact/genai/","Declared page intent; confirm against editorial brief.","Send inquiry","form","https://briefs.hardmagic.com/api/contact-request","Qualified consultation intake","primary","application","https://briefs.hardmagic.com/api/contact-request","strong"
"/contact/genai/","Declared page intent; confirm against editorial brief.","Start a GenAI inquiry","button dark-button","/contact/genai/#intake","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/#intake","strong"
"/contact/marketing-consulting/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/marketing-consulting/","Declared page intent; confirm against editorial brief.","Read marketing operations ↗","text-link","/insights/marketing-operations-for-small-expert-teams/","Research or method path","early-stage","internal","https://hardmagic.com/insights/marketing-operations-for-small-expert-teams/","strong"
"/contact/marketing-consulting/","Declared page intent; confirm against editorial brief.","Request a consultation","button dark-button","/contact/marketing-consulting/#intake","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/marketing-consulting/#intake","strong"
"/contact/marketing-consulting/","Declared page intent; confirm against editorial brief.","Send inquiry","form","https://briefs.hardmagic.com/api/contact-request","Qualified consultation intake","primary","application","https://briefs.hardmagic.com/api/contact-request","strong"
"/contact/media-management/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/media-management/","Declared page intent; confirm against editorial brief.","Use the media scorecard ↗","text-link","/methods/collection-to-intelligence/","Research or method path","early-stage","internal","https://hardmagic.com/methods/collection-to-intelligence/","strong"
"/contact/media-management/","Declared page intent; confirm against editorial brief.","Request a media assessment","button dark-button","/contact/media-management/#intake","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/#intake","strong"
"/contact/media-management/","Declared page intent; confirm against editorial brief.","Send inquiry","form","https://briefs.hardmagic.com/api/contact-request","Qualified consultation intake","primary","application","https://briefs.hardmagic.com/api/contact-request","strong"
"/contact/partnerships/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/partnerships/","Declared page intent; confirm against editorial brief.","Review the operating model ↗","text-link","/company/operating-model/","Company context","early-stage","internal","https://hardmagic.com/company/operating-model/","strong"
"/contact/partnerships/","Declared page intent; confirm against editorial brief.","Propose a partnership","button dark-button","/contact/partnerships/#intake","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/partnerships/#intake","strong"
"/contact/partnerships/","Declared page intent; confirm against editorial brief.","Send inquiry","form","https://briefs.hardmagic.com/api/contact-request","Qualified consultation intake","primary","application","https://briefs.hardmagic.com/api/contact-request","strong"
"/contact/thanks/","Declared page intent; confirm against editorial brief.","Continue exploring ↗","text-link","/insights/","Research or method path","early-stage","internal","https://hardmagic.com/insights/","strong"
"/contact/thanks/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/contact/thanks/","Declared page intent; confirm against editorial brief.","Prepare for the conversation","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/editorial-policy/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/editorial-policy/","Declared page intent; confirm against editorial brief.","Review recent insights ↗","text-link","/insights/","Research or method path","early-stage","internal","https://hardmagic.com/insights/","strong"
"/editorial-policy/","Declared page intent; confirm against editorial brief.","Report a correction","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/engagements/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/","Declared page intent; confirm against editorial brief.","Ready to move Choose an engagement Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/","Declared page intent; confirm against editorial brief.","Review the methods ↗","text-link","/methods/","Research or method path","early-stage","internal","https://hardmagic.com/methods/","strong"
"/engagements/","Declared page intent; confirm against editorial brief.","Still framing the question Review the methods Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/","Research or method path","early-stage","internal","https://hardmagic.com/methods/","strong"
"/engagements/","Declared page intent; confirm against editorial brief.","Choose an engagement","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/engagements/fractional-creative-office/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/fractional-creative-office/","Declared page intent; confirm against editorial brief.","Read the creative-direction essay ↗","text-link","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/engagements/fractional-creative-office/","Declared page intent; confirm against editorial brief.","Ready to move Discuss fractional leadership Use the relevant intake or engagement route.","enterprise-cta-option","/contact/creative-direction/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/engagements/fractional-creative-office/","Declared page intent; confirm against editorial brief.","Still framing the question Read the creative-direction essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/engagements/fractional-creative-office/","Declared page intent; confirm against editorial brief.","Discuss fractional leadership","button dark-button","/contact/creative-direction/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/engagements/genai-lab/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/genai-lab/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/engagements/genai-lab/","Declared page intent; confirm against editorial brief.","Ready to move Design a lab Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/engagements/genai-lab/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI operating brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/engagements/genai-lab/","Declared page intent; confirm against editorial brief.","Design a lab","button dark-button","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/engagements/managed-media-desk/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/managed-media-desk/","Declared page intent; confirm against editorial brief.","Read the media asset-estate brief ↗","text-link","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/engagements/managed-media-desk/","Declared page intent; confirm against editorial brief.","Ready to move Scope a media desk Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/engagements/managed-media-desk/","Declared page intent; confirm against editorial brief.","Still framing the question Read the media asset-estate brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/intelligent-media-asset-estate/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/intelligent-media-asset-estate/","strong"
"/engagements/managed-media-desk/","Declared page intent; confirm against editorial brief.","Scope a media desk","button dark-button","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/engagements/product-launch-room/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/product-launch-room/","Declared page intent; confirm against editorial brief.","Explore Studio production ↗","text-link","/products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/engagements/product-launch-room/","Declared page intent; confirm against editorial brief.","Ready to move Open a launch room Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/product-launch-room/","Declared page intent; confirm against editorial brief.","Still framing the question Explore Studio production Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/engagements/product-launch-room/","Declared page intent; confirm against editorial brief.","Open a launch room","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/engagements/transformation-sprint/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/transformation-sprint/","Declared page intent; confirm against editorial brief.","Read the 30/60/90 activation method ↗","text-link","/methods/30-60-90-activation/","Research or method path","early-stage","internal","https://hardmagic.com/methods/30-60-90-activation/","strong"
"/engagements/transformation-sprint/","Declared page intent; confirm against editorial brief.","Ready to move Scope a sprint Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/engagements/transformation-sprint/","Declared page intent; confirm against editorial brief.","Still framing the question Read the 30/60/90 activation method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/30-60-90-activation/","Research or method path","early-stage","internal","https://hardmagic.com/methods/30-60-90-activation/","strong"
"/engagements/transformation-sprint/","Declared page intent; confirm against editorial brief.","Scope a sprint","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/horizon/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/","Declared page intent; confirm against editorial brief.","Enter the dispatches","button ghost","horizon/#dispatches","Research or method path","primary","internal","https://hardmagic.com/horizon/#dispatches","strong"
"/horizon/accessibility-becomes-generative-art-direction/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/agentic-media-needs-a-control-room/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/brand-memory-becomes-an-operating-system/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/compute-becomes-a-creative-material/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/direction-after-infinite-production/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/identity-rights-become-production-infrastructure/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/marketing-after-surveillance/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/media-escapes-the-frame/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/provenance-is-the-new-publishing-layer/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/the-media-library-starts-making-decisions/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/the-sovereign-microstudio/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/horizon/the-story-is-assembled-at-the-edge/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/industries/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a sector decision Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI operating brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/industries/","Declared page intent; confirm against editorial brief.","Discuss a sector decision","button ghost","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/industries/agencies/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/agencies/","Declared page intent; confirm against editorial brief.","Read the GenAI operating brief ↗","text-link","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/industries/agencies/","Declared page intent; confirm against editorial brief.","Ready to move Build an agency lab Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/genai-lab/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/genai-lab/","strong"
"/industries/agencies/","Declared page intent; confirm against editorial brief.","Still framing the question Read the GenAI operating brief Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/briefs/generative-media-operating-system/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/generative-media-operating-system/","strong"
"/industries/agencies/","Declared page intent; confirm against editorial brief.","Build an agency lab","button ghost","/engagements/genai-lab/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/genai-lab/","strong"
"/industries/consumer-brands/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/consumer-brands/","Declared page intent; confirm against editorial brief.","Read brand-memory principles ↗","text-link","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/industries/consumer-brands/","Declared page intent; confirm against editorial brief.","Ready to move Review brand readiness Use the relevant intake or engagement route.","enterprise-cta-option","/contact/marketing-consulting/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/industries/consumer-brands/","Declared page intent; confirm against editorial brief.","Still framing the question Read brand-memory principles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/brand-memory/","Research or method path","early-stage","internal","https://hardmagic.com/methods/brand-memory/","strong"
"/industries/consumer-brands/","Declared page intent; confirm against editorial brief.","Review brand readiness","button ghost","/contact/marketing-consulting/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/industries/education-culture/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/education-culture/","Declared page intent; confirm against editorial brief.","Read provenance principles ↗","text-link","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/industries/education-culture/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a responsible pilot Use the relevant intake or engagement route.","enterprise-cta-option","/contact/genai/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/genai/","strong"
"/industries/education-culture/","Declared page intent; confirm against editorial brief.","Still framing the question Read provenance principles Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/provenance-without-killing-creative-flow/","Research or method path","early-stage","internal","https://hardmagic.com/insights/provenance-without-killing-creative-flow/","strong"
"/industries/education-culture/","Declared page intent; confirm against editorial brief.","Discuss a responsible pilot","button ghost","/contact/genai/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/genai/","strong"
"/industries/founder-led-companies/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/founder-led-companies/","Declared page intent; confirm against editorial brief.","Read the marketing-operations essay ↗","text-link","/insights/marketing-operations-for-small-expert-teams/","Research or method path","early-stage","internal","https://hardmagic.com/insights/marketing-operations-for-small-expert-teams/","strong"
"/industries/founder-led-companies/","Declared page intent; confirm against editorial brief.","Ready to move Request founder advisory Use the relevant intake or engagement route.","enterprise-cta-option","/contact/marketing-consulting/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/industries/founder-led-companies/","Declared page intent; confirm against editorial brief.","Still framing the question Read the marketing-operations essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/marketing-operations-for-small-expert-teams/","Research or method path","early-stage","internal","https://hardmagic.com/insights/marketing-operations-for-small-expert-teams/","strong"
"/industries/founder-led-companies/","Declared page intent; confirm against editorial brief.","Request founder advisory","button ghost","/contact/marketing-consulting/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/marketing-consulting/","strong"
"/industries/media-entertainment/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/media-entertainment/","Declared page intent; confirm against editorial brief.","Explore Studio production ↗","text-link","/products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/industries/media-entertainment/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a media program Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/industries/media-entertainment/","Declared page intent; confirm against editorial brief.","Still framing the question Explore Studio production Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/studio/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/studio/","strong"
"/industries/media-entertainment/","Declared page intent; confirm against editorial brief.","Discuss a media program","button ghost","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/industries/retail-commerce/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/retail-commerce/","Declared page intent; confirm against editorial brief.","Explore Photo Curator ↗","text-link","/products/photo-curator/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/photo-curator/","strong"
"/industries/retail-commerce/","Declared page intent; confirm against editorial brief.","Ready to move Review commerce media Use the relevant intake or engagement route.","enterprise-cta-option","/contact/media-management/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/media-management/","strong"
"/industries/retail-commerce/","Declared page intent; confirm against editorial brief.","Still framing the question Explore Photo Curator Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/photo-curator/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/photo-curator/","strong"
"/industries/retail-commerce/","Declared page intent; confirm against editorial brief.","Review commerce media","button ghost","/contact/media-management/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/media-management/","strong"
"/industries/software-platforms/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/software-platforms/","Declared page intent; confirm against editorial brief.","Explore WireMark ↗","text-link","/products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/industries/software-platforms/","Declared page intent; confirm against editorial brief.","Ready to move Plan a product narrative Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/product-launch-room/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/product-launch-room/","strong"
"/industries/software-platforms/","Declared page intent; confirm against editorial brief.","Still framing the question Explore WireMark Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/wiremark/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/wiremark/","strong"
"/industries/software-platforms/","Declared page intent; confirm against editorial brief.","Plan a product narrative","button dark-button","/engagements/product-launch-room/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/product-launch-room/","strong"
"/industries/sports-wellness/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/industries/sports-wellness/","Declared page intent; confirm against editorial brief.","Read the creative-direction essay ↗","text-link","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/industries/sports-wellness/","Declared page intent; confirm against editorial brief.","Ready to move Discuss brand direction Use the relevant intake or engagement route.","enterprise-cta-option","/contact/creative-direction/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/industries/sports-wellness/","Declared page intent; confirm against editorial brief.","Still framing the question Read the creative-direction essay Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/creative-direction-after-model-abundance/","Research or method path","early-stage","internal","https://hardmagic.com/insights/creative-direction-after-model-abundance/","strong"
"/industries/sports-wellness/","Declared page intent; confirm against editorial brief.","Discuss brand direction","button ghost","/contact/creative-direction/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/creative-direction/","strong"
"/insights/","Declared page intent; confirm against editorial brief.","Browse the methods ↗","text-link","/methods/","Research or method path","early-stage","internal","https://hardmagic.com/methods/","strong"
"/insights/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/","Declared page intent; confirm against editorial brief.","Ready to move Read the lead essay Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/","Declared page intent; confirm against editorial brief.","Still framing the question Browse the methods Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/","Research or method path","early-stage","internal","https://hardmagic.com/methods/","strong"
"/insights/","Declared page intent; confirm against editorial brief.","Read the lead essay","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/insights/25-years-from-brand-studio-to-ai-company/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/25-years-from-brand-studio-to-ai-company/","Declared page intent; confirm against editorial brief.","Explore current products ↗","text-link","/products/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/","strong"
"/insights/25-years-from-brand-studio-to-ai-company/","Declared page intent; confirm against editorial brief.","Ready to move Discuss the next transformation Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/25-years-from-brand-studio-to-ai-company/","Declared page intent; confirm against editorial brief.","Still framing the question Explore current products Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/products/","Product-qualified evaluation","early-stage","internal","https://hardmagic.com/products/","strong"
"/insights/25-years-from-brand-studio-to-ai-company/","Declared page intent; confirm against editorial brief.","Discuss the next transformation","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/insights/25-years-from-brand-studio-to-ai-company/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/insights/accessibility-is-art-direction/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/insights/accessibility-is-art-direction/","Declared page intent; confirm against editorial brief.","Ready to move Request an accessibility review Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
